Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2019,2,Sakhir,HAM,Mercedes,1.0,3,3,0,4.0,3.0,3.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,BOT,Mercedes,2.0,4,4,0,3.0,4.0,4.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,LEC,Ferrari,3.0,1,1,0,1.0,2.0,1.0,0,0,0,0,1,0,0,0,1
2019,2,Sakhir,VER,Red Bull Racing,4.0,5,5,0,5.0,6.0,8.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,VET,Ferrari,5.0,2,2,0,2.0,1.0,2.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,NOR,McLaren,6.0,9,10,0,15.0,8.0,7.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,RAI,Sauber,7.0,8,9,0,10.0,16.0,11.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,GAS,Red Bull Racing,8.0,13,13,0,6.0,12.0,12.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,ALB,Racing Bulls,9.0,12,12,0,13.0,13.0,17.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,PER,Racing Point,10.0,14,14,0,14.0,14.0,15.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,GIO,Sauber,11.0,16,16,0,16.0,18.0,18.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,KVY,Racing Bulls,12.0,15,15,0,9.0,10.0,10.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,MAG,Haas F1 Team,13.0,6,6,0,12.0,7.0,13.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,STR,Racing Point,14.0,18,18,0,18.0,17.0,14.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,RUS,Williams,15.0,19,19,0,19.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,KUB,Williams,16.0,20,20,0,20.0,20.0,20.0,0,0,0,0,1,0,0,0,0
2019,2,Sakhir,HUL,Renault,21.4,17,17,0,8.0,5.0,6.0,0,1,0,0,0,0,0,0,0
2019,2,Sakhir,RIC,Renault,21.4,10,11,0,11.0,15.0,16.0,0,1,0,0,0,0,0,0,0
2019,2,Sakhir,SAI,McLaren,21.4,7,7,0,7.0,11.0,9.0,0,1,0,0,0,0,0,0,0
2019,2,Sakhir,GRO,Haas F1 Team,31.58,11,8,0,17.0,9.0,5.0,0,0,1,0,0,0,0,0,0
2019,3,Shanghai,HAM,Mercedes,1.0,2,2,0,2.0,4.0,4.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,BOT,Mercedes,2.0,1,1,0,5.0,1.0,1.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,VET,Ferrari,3.0,3,3,0,1.0,2.0,2.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,VER,Red Bull Racing,4.0,5,5,0,4.0,3.0,7.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,LEC,Ferrari,5.0,4,4,0,3.0,7.0,3.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,GAS,Red Bull Racing,6.0,6,6,0,7.0,10.0,15.0,0,0,0,0,1,0,0,0,1
2019,3,Shanghai,RIC,Renault,7.0,7,7,0,6.0,9.0,13.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,PER,Racing Point,8.0,12,12,0,17.0,15.0,12.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,RAI,Sauber,9.0,13,13,0,15.0,11.0,6.0,0,0,0,0,1,0,0,0,0
2019,3,Shanghai,ALB,Racing Bulls,10.0,0,0,0,14.0,12.0,9.0,0,0,0,0,1,0,0,0,0
