Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,P1_missing,P2_missing,P3_missing,Is_finished,FastestLap
2020,1,Spielberg,BOT,Mercedes,1.0,1,1,0,2.0,2.0,2.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,LEC,Ferrari,2.0,7,7,0,10.0,9.0,5.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,NOR,McLaren,3.0,3,4,0,6.0,6.0,10.0,0,0,0,0,0,0,0,1,1
2020,1,Spielberg,HAM,Mercedes,4.0,5,2,0,1.0,1.0,1.0,0,0,0,1,0,0,0,1,0
2020,1,Spielberg,SAI,McLaren,5.0,8,8,0,4.0,10.0,13.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,PER,Racing Point,6.0,6,6,0,5.0,3.0,4.0,0,0,0,1,0,0,0,1,0
2020,1,Spielberg,GAS,Racing Bulls,7.0,12,12,0,16.0,17.0,9.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,OCO,Renault,8.0,14,14,0,13.0,11.0,11.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,GIO,Sauber,9.0,18,18,0,14.0,14.0,18.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,VET,Ferrari,10.0,11,11,0,12.0,4.0,7.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,LAT,Williams,11.0,20,20,0,18.0,20.0,20.0,0,0,0,0,0,0,0,1,0
2020,1,Spielberg,KVY,Racing Bulls,21.13,13,13,0,19.0,12.0,14.0,0,1,0,0,0,0,0,0,0
2020,1,Spielberg,ALB,Red Bull Racing,21.13,4,5,0,7.0,13.0,6.0,0,1,0,0,0,0,0,0,0
2020,1,Spielberg,RAI,Sauber,27.61,19,19,0,15.0,19.0,19.0,0,1,0,0,0,0,0,0,0
2020,1,Spielberg,RUS,Williams,26.2,17,17,0,17.0,18.0,16.0,0,1,0,0,0,0,0,0,0
2020,1,Spielberg,GRO,Haas F1 Team,26.2,15,15,0,,16.0,15.0,0,1,0,0,1,0,0,0,0
2020,1,Spielberg,MAG,Haas F1 Team,39.86,16,16,0,9.0,15.0,17.0,0,1,0,0,0,0,0,0,0
2020,1,Spielberg,STR,Racing Point,41.55,9,9,0,11.0,7.0,8.0,0,1,0,0,0,0,0,0,0
2020,1,Spielberg,RIC,Renault,42.82,10,10,0,8.0,5.0,12.0,0,1,0,0,0,0,0,0,0
2020,1,Spielberg,VER,Red Bull Racing,45.35,2,3,0,3.0,8.0,3.0,0,1,0,0,0,0,0,0,0
2020,2,Spielberg,HAM,Mercedes,1.0,1,1,0,4.0,6.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,BOT,Mercedes,2.0,4,4,0,3.0,2.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,VER,Red Bull Racing,3.0,2,2,0,2.0,1.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,ALB,Red Bull Racing,4.0,6,7,0,6.0,7.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,NOR,McLaren,5.0,9,6,0,14.0,8.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,PER,Racing Point,6.0,17,17,0,1.0,3.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,STR,Racing Point,7.0,12,13,0,5.0,4.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,RIC,Renault,8.0,8,9,0,9.0,,,0,0,0,0,0,1,1,1,0
2020,2,Spielberg,SAI,McLaren,9.0,3,3,0,7.0,5.0,,0,0,0,0,0,0,1,1,1
2020,2,Spielberg,KVY,Racing Bulls,10.0,13,14,0,11.0,13.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,RAI,Sauber,11.0,16,16,0,15.0,14.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,MAG,Haas F1 Team,12.0,15,15,0,,18.0,,0,0,0,0,1,0,1,1,0
2020,2,Spielberg,GRO,Haas F1 Team,13.0,0,20,0,16.0,19.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,GIO,Sauber,14.0,19,19,0,,15.0,,0,0,0,0,1,0,1,1,0
2020,2,Spielberg,GAS,Racing Bulls,15.0,7,8,0,8.0,11.0,,0,0,0,0,0,0,1,1,0
2020,2,Spielberg,RUS,Williams,16.0,11,12,0,,16.0,,0,0,0,0,1,0,1,1,0
2020,2,Spielberg,LAT,Williams,17.0,18,18,0,,17.0,,0,0,0,0,1,0,1,1,0
2020,2,Spielberg,OCO,Renault,32.96,5,5,0,13.0,10.0,,0,1,0,0,0,0,1,0,0
2020,2,Spielberg,LEC,Ferrari,48.31,14,11,0,12.0,9.0,,0,0,1,0,0,0,1,0,0
2020,2,Spielberg,VET,Ferrari,49.58,10,10,0,10.0,12.0,,0,0,1,0,0,0,1,0,0
2020,3,Budapest,HAM,Mercedes,1.0,1,1,0,1.0,,2.0,0,0,0,0,0,1,0,1,1
2020,3,Budapest,VER,Red Bull Racing,2.0,7,7,0,8.0,7.0,6.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,BOT,Mercedes,3.0,2,2,0,2.0,2.0,1.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,STR,Racing Point,4.0,3,3,0,4.0,4.0,5.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,ALB,Red Bull Racing,5.0,13,13,0,13.0,,12.0,0,0,0,0,0,1,0,1,0
2020,3,Budapest,VET,Ferrari,6.0,5,5,0,6.0,1.0,8.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,PER,Racing Point,7.0,4,4,0,3.0,5.0,3.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,RIC,Renault,8.0,11,11,0,5.0,,10.0,0,0,0,0,0,1,0,1,0
2020,3,Budapest,SAI,McLaren,9.0,9,9,0,11.0,3.0,11.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,MAG,Haas F1 Team,10.0,0,16,0,12.0,,16.0,0,0,0,1,0,1,0,1,0
2020,3,Budapest,LEC,Ferrari,11.0,6,6,0,7.0,10.0,4.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,KVY,Racing Bulls,12.0,17,17,0,16.0,13.0,17.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,NOR,McLaren,13.0,8,8,0,9.0,12.0,7.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,OCO,Renault,14.0,14,14,0,10.0,,13.0,0,0,0,0,0,1,0,1,0
2020,3,Budapest,RAI,Sauber,15.0,20,20,0,,9.0,19.0,0,0,0,1,1,0,0,1,0
2020,3,Budapest,GRO,Haas F1 Team,16.0,0,18,0,14.0,8.0,15.0,0,0,0,1,0,0,0,1,0
2020,3,Budapest,GIO,Sauber,17.0,19,19,0,17.0,11.0,18.0,0,0,0,0,0,0,0,1,0
2020,3,Budapest,RUS,Williams,18.0,12,12,0,18.0,,14.0,0,0,0,0,0,1,0,1,0
2020,3,Budapest,LAT,Williams,19.0,15,15,0,15.0,,20.0,0,0,0,0,0,1,0,1,0
2020,3,Budapest,GAS,Racing Bulls,43.57,10,10,0,,6.0,9.0,0,1,0,0,1,0,0,0,0
2020,4,Silverstone,HAM,Mercedes,1.0,1,1,0,2.0,5.0,2.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,VER,Red Bull Racing,2.0,3,3,0,1.0,14.0,3.0,0,0,0,0,0,0,0,1,1
2020,4,Silverstone,LEC,Ferrari,3.0,4,4,0,5.0,4.0,6.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,RIC,Renault,4.0,8,8,0,8.0,9.0,8.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,NOR,McLaren,5.0,5,5,0,13.0,11.0,7.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,OCO,Renault,6.0,9,9,0,6.0,12.0,12.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,GAS,Racing Bulls,7.0,11,11,0,11.0,8.0,10.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,ALB,Red Bull Racing,8.0,12,12,0,4.0,2.0,13.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,STR,Racing Point,9.0,6,6,0,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,VET,Ferrari,10.0,10,10,0,,18.0,14.0,0,0,0,0,1,0,0,1,0
2020,4,Silverstone,BOT,Mercedes,11.0,2,2,0,7.0,3.0,1.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,RUS,Williams,12.0,20,15,0,17.0,17.0,16.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,SAI,McLaren,13.0,7,7,0,12.0,6.0,5.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,GIO,Sauber,14.0,15,17,0,18.0,13.0,17.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,LAT,Williams,15.0,18,20,0,19.0,20.0,20.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,GRO,Haas F1 Team,16.0,17,19,0,15.0,16.0,15.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,RAI,Sauber,17.0,16,18,0,16.0,10.0,19.0,0,0,0,0,0,0,0,1,0
2020,4,Silverstone,KVY,Racing Bulls,43.75,19,14,0,10.0,15.0,11.0,0,0,1,0,0,0,0,0,0
2020,4,Silverstone,MAG,Haas F1 Team,49.42,14,16,0,14.0,19.0,18.0,0,0,1,0,0,0,0,0,0
2020,4,Silverstone,HUL,Racing Point,50.0,0,13,0,9.0,7.0,9.0,0,1,0,0,0,0,0,0,0
2020,5,Silverstone,VER,Red Bull Racing,1.0,4,4,0,3.0,4.0,7.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,HAM,Mercedes,2.0,2,2,0,2.0,1.0,1.0,0,0,0,0,0,0,0,1,1
2020,5,Silverstone,BOT,Mercedes,3.0,1,1,0,1.0,2.0,2.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,LEC,Ferrari,4.0,8,8,0,5.0,7.0,6.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,ALB,Red Bull Racing,5.0,9,9,0,6.0,11.0,8.0,0,0,0,0,0,0,0,1,0
2020,5,Silverstone,STR,Racing Point,6.0,6,6,0,8.0,5.0,5.0,0,0,0,0,0,0,0,1,0
