Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3
2020,0,Barcelona,BOT,Mercedes,1,1,1,0,2,2,2
2020,0,Barcelona,LEC,Ferrari,2,7,7,0,10,9,5
2020,0,Barcelona,NOR,McLaren,3,3,4,0,6,6,10
2020,0,Barcelona,HAM,Mercedes,4,5,2,0,1,1,1
2020,0,Barcelona,SAI,McLaren,5,8,8,0,4,10,13
2020,0,Barcelona,PER,Racing Point,6,6,6,0,5,3,4
2020,0,Barcelona,GAS,AlphaTauri,7,12,12,0,16,17,9
2020,0,Barcelona,OCO,Renault,8,14,14,0,13,11,11
2020,0,Barcelona,GIO,Alfa Romeo Racing,9,18,18,0,14,14,18
2020,0,Barcelona,VET,Ferrari,10,11,11,0,12,4,7
2020,0,Barcelona,LAT,Williams,11,20,20,0,18,20,20
2020,0,Barcelona,KVY,AlphaTauri,12,13,13,0,19,12,14
2020,0,Barcelona,ALB,Red Bull Racing,13,4,5,0,7,13,6
2020,0,Barcelona,RAI,Alfa Romeo Racing,14,19,19,0,15,19,19
2020,0,Barcelona,RUS,Williams,15,17,17,0,17,18,16
2020,0,Barcelona,GRO,Haas F1 Team,16,15,15,0,0,16,15
2020,0,Barcelona,MAG,Haas F1 Team,17,16,16,0,9,15,17
2020,0,Barcelona,STR,Racing Point,18,9,9,0,11,7,8
2020,0,Barcelona,RIC,Renault,19,10,10,0,8,5,12
2020,0,Barcelona,VER,Red Bull Racing,20,2,3,0,3,8,3
2020,1,Spielberg,BOT,Mercedes,1,1,1,0,2,2,2
2020,1,Spielberg,LEC,Ferrari,2,7,7,0,10,9,5
2020,1,Spielberg,NOR,McLaren,3,3,4,0,6,6,10
2020,1,Spielberg,HAM,Mercedes,4,5,2,0,1,1,1
2020,1,Spielberg,SAI,McLaren,5,8,8,0,4,10,13
2020,1,Spielberg,PER,Racing Point,6,6,6,0,5,3,4
2020,1,Spielberg,GAS,AlphaTauri,7,12,12,0,16,17,9
2020,1,Spielberg,OCO,Renault,8,14,14,0,13,11,11
2020,1,Spielberg,GIO,Alfa Romeo Racing,9,18,18,0,14,14,18
2020,1,Spielberg,VET,Ferrari,10,11,11,0,12,4,7
2020,1,Spielberg,LAT,Williams,11,20,20,0,18,20,20
