Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3
2018,2,Sakhir,VET,Ferrari,1,1,1,0,4,2,5
2018,2,Sakhir,BOT,Mercedes,2,3,3,0,2,3,6
2018,2,Sakhir,HAM,Mercedes,3,9,4,0,5,4,4
2018,2,Sakhir,GAS,Toro Rosso,4,5,6,0,7,8,9
2018,2,Sakhir,MAG,Haas F1 Team,5,6,7,0,9,15,15
2018,2,Sakhir,HUL,Renault,6,7,8,0,10,7,7
2018,2,Sakhir,ALO,McLaren,7,13,13,0,11,9,10
2018,2,Sakhir,VAN,McLaren,8,14,14,0,13,10,17
2018,2,Sakhir,ERI,Sauber,9,17,17,0,17,19,16
2018,2,Sakhir,OCO,Force India,10,8,9,0,19,13,13
2018,2,Sakhir,SAI,Renault,11,10,10,0,8,12,8
2018,2,Sakhir,LEC,Sauber,12,19,19,0,12,16,18
2018,2,Sakhir,GRO,Haas F1 Team,13,16,16,0,6,11,12
2018,2,Sakhir,STR,Williams,14,20,20,0,14,17,20
2018,2,Sakhir,SIR,Williams,15,18,18,0,15,18,19
2018,2,Sakhir,PER,Force India,16,12,12,0,18,14,14
2018,2,Sakhir,HAR,Toro Rosso,17,11,11,0,16,20,11
2018,2,Sakhir,RAI,Ferrari,18,2,2,0,3,1,1
2018,2,Sakhir,VER,Red Bull Racing,19,15,15,0,0,5,2
2018,2,Sakhir,RIC,Red Bull Racing,20,4,5,0,1,6,3
2018,3,Shanghai,RIC,Red Bull Racing,1,6,6,0,4,9,15
2018,3,Shanghai,BOT,Mercedes,2,3,3,0,3,3,3
2018,3,Shanghai,RAI,Ferrari,3,2,2,0,2,2,2
2018,3,Shanghai,HAM,Mercedes,4,4,4,0,1,1,5
2018,3,Shanghai,VER,Red Bull Racing,5,5,5,0,5,5,4
2018,3,Shanghai,HUL,Renault,6,7,7,0,10,6,11
2018,3,Shanghai,ALO,McLaren,7,13,13,0,12,10,12
2018,3,Shanghai,VET,Ferrari,8,1,1,0,6,4,1
2018,3,Shanghai,SAI,Renault,9,9,9,0,8,8,9
2018,3,Shanghai,MAG,Haas F1 Team,10,11,11,0,7,7,6
2018,3,Shanghai,OCO,Force India,11,12,12,0,14,13,8
2018,3,Shanghai,PER,Force India,12,8,8,0,13,11,7
2018,3,Shanghai,VAN,McLaren,13,14,14,0,18,14,13
2018,3,Shanghai,STR,Williams,14,18,18,0,20,20,17
2018,3,Shanghai,SIR,Williams,15,16,16,0,15,16,10
2018,3,Shanghai,ERI,Sauber,16,20,20,0,19,17,19
2018,3,Shanghai,GRO,Haas F1 Team,17,10,10,0,9,19,20
2018,3,Shanghai,GAS,Toro Rosso,18,17,17,0,11,12,16
2018,3,Shanghai,LEC,Sauber,19,19,19,0,17,18,18
2018,3,Shanghai,HAR,Toro Rosso,20,15,15,0,16,15,14
2018,4,Baku,HAM,Mercedes,1,2,2,0,4,5,2
2018,4,Baku,RAI,Ferrari,2,6,6,0,15,2,3
2018,4,Baku,PER,Force India,3,8,8,0,3,12,6
2018,4,Baku,VET,Ferrari,4,1,1,0,10,11,1
2018,4,Baku,SAI,Renault,5,9,10,0,20,8,16
2018,4,Baku,LEC,Sauber,6,13,14,0,16,16,14
2018,4,Baku,ALO,McLaren,7,12,13,0,7,6,11
2018,4,Baku,STR,Williams,8,10,11,0,11,14,8
2018,4,Baku,VAN,McLaren,9,16,16,0,19,19,18
2018,4,Baku,HAR,Toro Rosso,10,19,19,0,12,18,20
2018,4,Baku,ERI,Sauber,11,18,18,0,17,20,19
2018,4,Baku,GAS,Toro Rosso,12,17,17,0,9,15,13
2018,4,Baku,MAG,Haas F1 Team,13,15,15,0,18,9,7
2018,4,Baku,BOT,Mercedes,14,3,3,0,1,4,5
2018,4,Baku,GRO,Haas F1 Team,15,20,20,0,14,13,15
2018,4,Baku,VER,Red Bull Racing,16,5,5,0,6,3,4
2018,4,Baku,RIC,Red Bull Racing,17,4,4,0,2,1,12
2018,4,Baku,HUL,Renault,18,14,9,0,13,10,17
2018,4,Baku,OCO,Force India,19,7,7,0,5,7,9
2018,4,Baku,SIR,Williams,20,11,12,0,8,17,10
2018,5,Barcelona,HAM,Mercedes,1,1,1,0,2,1,1
