Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2022,1,Sakhir,LEC,Ferrari,1.0,1,1,0,2.0,2.0,2.0,0,0,0,0,1,0,0,0,1
2022,1,Sakhir,SAI,Ferrari,2.0,3,3,0,3.0,3.0,5.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,HAM,Mercedes,3.0,5,5,0,7.0,9.0,6.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,RUS,Mercedes,4.0,9,9,0,4.0,4.0,4.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,MAG,Haas F1 Team,5.0,7,7,0,19.0,10.0,7.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,BOT,Sauber,6.0,6,6,0,,6.0,8.0,0,0,0,0,1,1,0,0,0
2022,1,Sakhir,OCO,Alpine,7.0,11,11,0,12.0,12.0,18.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,TSU,Racing Bulls,8.0,16,16,0,9.0,14.0,,0,0,0,0,1,0,0,1,0
2022,1,Sakhir,ALO,Alpine,9.0,8,8,0,8.0,5.0,16.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,ZHO,Sauber,10.0,15,15,0,11.0,15.0,9.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,MSC,Haas F1 Team,11.0,12,12,0,18.0,8.0,14.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,STR,Aston Martin,12.0,19,19,0,6.0,16.0,10.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,ALB,Williams,13.0,14,14,0,15.0,20.0,17.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,RIC,McLaren,14.0,18,18,0,17.0,18.0,15.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,NOR,McLaren,15.0,13,13,0,16.0,11.0,11.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,LAT,Williams,16.0,20,20,0,13.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,HUL,Aston Martin,17.0,17,17,0,14.0,17.0,12.0,0,0,0,0,1,0,0,0,0
2022,1,Sakhir,PER,Red Bull Racing,21.05,4,4,0,10.0,7.0,3.0,0,1,0,0,0,0,0,0,0
2022,1,Sakhir,VER,Red Bull Racing,21.05,2,2,0,5.0,1.0,1.0,0,1,0,0,0,0,0,0,0
2022,1,Sakhir,GAS,Racing Bulls,26.84,10,10,0,1.0,13.0,13.0,0,1,0,0,0,0,0,0,0
